state.id,state,region,month,year,summer
23,Quintana Roo,Peninsular,8,2017,Yes
24,San Luis Potosi,Noreste,8,2017,Yes
25,Sinaloa,Noroeste,8,2017,Yes
26,Sonora,Noroeste,8,2017,Yes
27,Tabasco,Sur,8,2017,Yes
28,Tamaulipas,Noreste,8,2017,Yes
29,Tlaxcala,Central,8,2017,Yes
30,Veracruz,Sur,8,2017,Yes
31,Yucatan,Peninsular,8,2017,Yes
32,Zacatecas,Norte,8,2017,Yes
1,Aguascalientes,Sur,9,2017,Yes
2,Baja California,Baja California,9,2017,Yes
3,Baja California Sur,Baja California Sur,9,2017,Yes
4,Campeche,Peninsular,9,2017,Yes
5,Coahuila,Noreste,9,2017,Yes
6,Colima,Sur,9,2017,Yes
7,Chiapas,Sur,9,2017,Yes
8,Chihuahua,Norte,9,2017,Yes
9,Mexico City,Central,9,2017,Yes
10,Durango,Norte,9,2017,Yes
11,Guanajuato,Sur,9,2017,Yes
12,Guerrero,Sur,9,2017,Yes
13,Hidalgo,Central,9,2017,Yes
14,Jalisco,Sur,9,2017,Yes
15,Mexico,Central,9,2017,Yes
16,Michoacan,Sur,9,2017,Yes
17,Morelos,Central,9,2017,Yes
18,Nayarit,Sur,9,2017,Yes
19,Nuevo Leon,Noreste,9,2017,Yes
20,Oaxaca,Sur,9,2017,Yes
21,Puebla,Central,9,2017,Yes
22,Queretaro,Sur,9,2017,Yes
23,Quintana Roo,Peninsular,9,2017,Yes
24,San Luis Potosi,Noreste,9,2017,Yes
25,Sinaloa,Noroeste,9,2017,Yes
26,Sonora,Noroeste,9,2017,Yes
27,Tabasco,Sur,9,2017,Yes
28,Tamaulipas,Noreste,9,2017,Yes
29,Tlaxcala,Central,9,2017,Yes
30,Veracruz,Sur,9,2017,Yes
31,Yucatan,Peninsular,9,2017,Yes
32,Zacatecas,Norte,9,2017,Yes
1,Aguascalientes,Sur,10,2017,No
2,Baja California,Baja California,10,2017,Yes
3,Baja California Sur,Baja California Sur,10,2017,No
4,Campeche,Peninsular,10,2017,No
5,Coahuila,Noreste,10,2017,No
6,Colima,Sur,10,2017,No
7,Chiapas,Sur,10,2017,No
8,Chihuahua,Norte,10,2017,Yes
9,Mexico City,Central,10,2017,No
10,Durango,Norte,10,2017,Yes
11,Guanajuato,Sur,10,2017,No
12,Guerrero,Sur,10,2017,No
13,Hidalgo,Central,10,2017,No
14,Jalisco,Sur,10,2017,No
15,Mexico,Central,10,2017,No
16,Michoacan,Sur,10,2017,No
17,Morelos,Central,10,2017,No
18,Nayarit,Sur,10,2017,No
19,Nuevo Leon,Noreste,10,2017,No
20,Oaxaca,Sur,10,2017,No
21,Puebla,Central,10,2017,No
22,Queretaro,Sur,10,2017,No
23,Quintana Roo,Peninsular,10,2017,No
24,San Luis Potosi,Noreste,10,2017,No
25,Sinaloa,Noroeste,10,2017,Yes
26,Sonora,Noroeste,10,2017,Yes
27,Tabasco,Sur,10,2017,No
28,Tamaulipas,Noreste,10,2017,No
29,Tlaxcala,Central,10,2017,No
30,Veracruz,Sur,10,2017,No
31,Yucatan,Peninsular,10,2017,No
32,Zacatecas,Norte,10,2017,Yes
1,Aguascalientes,Sur,11,2017,No
2,Baja California,Baja California,11,2017,No
3,Baja California Sur,Baja California Sur,11,2017,No
4,Campeche,Peninsular,11,2017,No
5,Coahuila,Noreste,11,2017,No
6,Colima,Sur,11,2017,No
7,Chiapas,Sur,11,2017,No
8,Chihuahua,Norte,11,2017,No
9,Mexico City,Central,11,2017,No
