"","agem","folio","nom_mun","lat_decimal","lon_decimal","altitud","region.tariff","tariff","summer"
"18867",22001,19307,"Amealco de Bonfil",20.1554996335404,-100.104940770186,2493.99378881988,"Sur","1",0
"18868",22001,19319,"Amealco de Bonfil",20.1554996335404,-100.104940770186,2493.99378881988,"Sur","1",0
"18869",22001,19298,"Amealco de Bonfil",20.1554996335404,-100.104940770186,2493.99378881988,"Sur","1",0
"18870",22001,19306,"Amealco de Bonfil",20.1554996335404,-100.104940770186,2493.99378881988,"Sur","1",0
"18871",22001,19327,"Amealco de Bonfil",20.1554996335404,-100.104940770186,2493.99378881988,"Sur","1",0
"18872",22001,19321,"Amealco de Bonfil",20.1554996335404,-100.104940770186,2493.99378881988,"Sur","1",0
"18873",22004,19353,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18874",22004,19565,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18875",22004,19339,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18876",22004,19566,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18877",22004,19349,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18878",22004,19559,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18879",22004,19341,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18880",22004,19337,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18881",22004,19551,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18882",22004,19350,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18883",22004,19567,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18884",22004,19344,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18885",22004,19338,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18886",22004,19561,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18887",22004,19354,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18888",22004,19342,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18889",22004,19340,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18890",22004,19568,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18891",22004,19348,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18892",22004,19554,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18893",22004,19345,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18894",22004,19351,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18895",22004,19558,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18896",22004,19557,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18897",22004,19555,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18898",22004,19352,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18899",22004,19343,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18900",22004,19346,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18901",22004,19335,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18902",22004,19336,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18903",22004,19560,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18904",22004,19563,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18905",22004,19556,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18906",22004,19569,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18907",22004,19347,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18908",22004,19570,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18909",22004,19553,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18910",22004,19552,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18911",22004,19564,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18912",22004,19562,"Cadereyta de Montes",20.7825207585034,-99.6524878503401,2058.20408163265,"Sur","1",0
"18913",22006,19246,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18914",22006,19227,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18915",22006,19256,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18916",22006,19243,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18917",22006,19226,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18918",22006,19223,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18919",22006,19258,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18920",22006,19255,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18921",22006,19254,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18922",22006,19225,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18923",22006,19356,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18924",22006,19247,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18925",22006,19228,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18926",22006,19244,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18927",22006,19236,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18928",22006,19252,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18929",22006,19250,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18930",22006,19251,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18931",22006,19224,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18932",22006,19222,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18933",22006,19231,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18934",22006,19217,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18935",22006,19358,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18936",22006,19221,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18937",22006,19360,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
"18938",22006,19230,"Corregidora",20.5017282229299,-100.436866503185,1940.48407643312,"Sur","1",0
